,code,concatsize,organic?,concatprod,RRP?,brand,j,price,,,#VALUE!,case size,unit size,unit,VAT code
1,6074,6x250g,organic,Macadamia Nuts - large whole,8.10,Infinity,,36.45,,0,5028869060749,6,250,g,0
1,6075,12x450g,organic,Linseed Brown ,1.56,Infinity,,14.05,,0,5028869060756,12,450,g,0
1,6077,12x250g,organic,Linseed Gold,1.15,Infinity,,10.30,,0,5028869060770,12,250,g,0
1,6078,12x450g,organic,Linseed Gold ,1.65,Infinity,,14.80,,0,5028869060787,12,450,g,0
1,6079,6x1kg,organic,Linseed Gold ,3.15,Infinity,,14.15,,0,5028869060794,6,1,kg,0
1,6080,6x250g,organic,Nut Mix ,4.55,Infinity,,20.45,,0,5028869060800,6,250,g,0
1,6082,6x500g,organic,Nut Mix ,8.40,Infinity,,37.80,,0,5028869060824,6,500,g,0
1,6084,12x250g,organic,Omega Four Seed Mix,1.52,Infinity,,13.70,,0,5028869060848,12,250,g,0
1,6085,12x250g,organic,Peanuts,1.59,Infinity,,14.25,,0,5028869060855,12,250,g,0
1,6087,6x500g,organic,Omega Four Seed Mix,2.69,Infinity,,12.10,,0,5028869060879,6,500,g,0
1,6090,12x500g,organic,Peanuts,2.65,Infinity,,23.85,,0,5028869060909,12,500,g,0
1,6092,12x125g,organic,Pecans - halves,4.49,Infinity,,40.40,,0,5028869060923,12,125,g,0
1,6093,6x250g,organic,Pecans - halves,8.60,Infinity,,38.70,,0,5028869060930,6,250,g,0
1,6094,12x125g,organic,Large Pecan Pieces,3.92,Infinity,,35.25,,0,5028869060947,12,125,g,0
1,6095,12x125g,organic,Pine Kernels,6.45,Infinity,,57.95,,0,5028869060954,12,125,g,0
1,6096,6x250g,organic,Large Pecan Pieces,7.49,Infinity,,33.70,,0,5028869060961,6,250,g,0
1,6097,6x250g,organic,Pine Kernels,12.54,Infinity,,56.40,,0,5028869060978,6,250,g,0
1,6098,12x125g,organic,Poppy Seeds,1.29,Infinity,,11.65,,0,5028869060985,12,125,g,0
1,6099,6x250g,organic,Poppy Seeds,2.25,Infinity,,10.10,,0,5028869060992,6,250,g,0
1,6100,12x125g,organic,Pumpkin Seeds - AA grade,1.14,Infinity,,10.25,,0,5028869061005,12,125,g,0
1,6101,12x125g,organic,Raw Pistachio Kernels,5.99,Infinity,,53.85,,0,5028869061012,12,125,g,0
1,6102,6x250g,organic,Raw Pistachio Kernels,11.60,Infinity,,52.20,,0,5028869061029,6,250,g,0
1,6105,12x250g,organic,Pumpkin Seeds - AA grade,1.77,Infinity,,15.90,,0,5028869061050,12,250,g,0
1,6110,6x500g,organic,Pumpkin Seeds - AA grade,3.19,Infinity,,14.35,,0,5028869061104,6,500,g,0
1,6112,6x1kg,organic,Pumpkin Seeds - AA grade,5.93,Infinity,,26.67,,0,5028869061128,6,1,kg,0
1,6113,12x250g,organic,"Three Seed Mix (sunflower, pumpkin, pine)",2.10,Infinity,,18.90,,0,5028869061135,12,250,g,0
1,6115,12x250g,organic,Hulled Sesame Seeds - white,1.73,Infinity,,15.55,,0,5028869061159,12,250,g,0
1,6120,12x125g,organic,Austrian Pumpkin Seeds,1.84,Infinity,,16.55,,0,5028869061203,12,125,g,0
1,6121,6x250g,organic,Austrian Pumpkin Seeds,3.33,Infinity,,15.00,,0,5028869061210,6,250,g,0
1,6122,6x500g,organic,Austrian Pumpkin Seeds,5.99,Infinity,,26.95,,0,5028869061227,6,500,g,0
1,6125,12x250g,organic,Sesame Seeds - whole - brown,1.25,Infinity,,11.25,,0,5028869061258,12,250,g,0
1,6127,12x400g,organic,Sesame Seeds - whole - brown,1.69,Infinity,,15.25,,0,5028869061272,12,400,g,0
1,6128,6x250g,organic,Black Sesame Seeds - whole,1.85,Infinity,,8.30,,0,5028869061289,6,250,g,0
1,6130,12x250g,organic,Sunflower Seed - kernels,1.10,Infinity,,9.90,,0,5028869061302,12,250,g,0
1,6135,12x500g,organic,Sunflower Seed - kernels,1.69,Infinity,,15.20,,0,5028869061357,12,500,g,0
1,6140,6x1kg,organic,Sunflower Seed - kernels,3.25,Infinity,,14.60,,0,5028869061401,6,1,kg,0
1,6143,12x250g,organic,Trail Mix,2.20,Infinity,,19.80,,0,5028869061432,12,250,g,0
1,6145,12x125g,organic,Walnut Light Pieces ,2.09,Infinity,,18.75,,0,5028869061456,12,125,g,0
1,6150,12x250g,organic,Walnut Light Pieces ,3.65,Infinity,,32.85,,0,5028869061500,12,250,g,0
1,6155,6x500g,organic,Walnut Light Pieces ,6.99,Infinity,,31.45,,0,5028869061555,6,500,g,0
1,6160,12x125g,organic,Walnut Halves - Light,2.43,Infinity,,21.90,,0,5028869061609,12,125,g,0
1,6165,12x250g,organic,Walnut Halves - Light,4.35,Infinity,,39.15,,0,5028869061654,12,250,g,0
1,6167,6x500g,organic,Walnut Halves - Light,8.35,Infinity,,37.55,,0,5028869061678,6,500,g,0
1,6515,12x125g,,Almonds ,1.77,Infinity,,15.90,,0,5028869065157,12,125,g,0
1,6520,12x250g,,Almonds ,3.03,Infinity,,27.25,,0,5028869065201,12,250,g,0
1,6525,12x500g,,Almonds ,5.55,Infinity,,49.95,,0,5028869065256,12,500,g,0
1,6575,12x125g,,Brazil Nuts,2.14,Infinity,,19.25,,0,5028869065751,12,125,g,0
1,6580,12x250g,,Brazil Nuts,3.77,Infinity,,33.90,,0,5028869065805,12,250,g,0
1,6585,12x500g,,Brazil Nuts,7.03,Infinity,,63.25,,0,5028869065850,12,500,g,0
1,6615,12x125g,,Cashews - large pieces,1.92,Infinity,,17.30,,0,5028869066154,12,125,g,0
1,6620,12x250g,,Cashews - large pieces,3.34,Infinity,,30.05,,0,5028869066208,12,250,g,0
1,6625,12x500g,,Cashews - large pieces,6.17,Infinity,,55.50,,0,5028869066253,12,500,g,0
1,6635,12x125g,,Cashews Whole,2.44,Infinity,,21.95,,0,5028869066352,12,125,g,0
1,6640,12x250g,,Cashews Whole,4.37,Infinity,,39.35,,0,5028869066406,12,250,g,0
1,6643,6x500g,,Cashews Whole,8.40,Infinity,,37.80,,0,5028869066437,6,500,g,0
1,6705,12x250g,,Chia Seeds ,1.37,Infinity,,12.30,,0,5028869067052,12,250,g,0
1,6710,6x500g,,Chia Seeds,2.39,Infinity,,10.75,,0,5028869067106,6,500,g,0
